28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1376 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1377 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1378 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1379 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1380 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1381 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1382 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1383 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1384 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1385 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1386 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1387 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1388 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1389 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1390 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1391 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1392 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1393 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1394 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1395 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1396 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1397 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1398 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1399 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1400 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1401 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1402 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1403 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1404 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1405 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1406 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1407 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1408 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1409 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1410 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1411 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1412 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1413 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1414 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1415 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1416 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1417 sin payload válido; partes=['NoneType']
